unique_id,date,headline,source,url
2020-11-12_an_0001,2020-11-12,Kuala Lumpur jadi wilayah bebas berdagang mulai 15 November,Antara,https://www.antaranews.com/berita/1836560/kuala-lumpur-jadi-wilayah-bebas-berdagang-mulai-15-november
2020-11-12_an_0002,2020-11-12,Mengoptimalkan peran ayah dalam sosialisasi protokol kesehatan,Antara,https://www.antaranews.com/berita/1836528/mengoptimalkan-peran-ayah-dalam-sosialisasi-protokol-kesehatan
2020-11-12_an_0003,2020-11-12,500 nakes Wisma Atlet tepuk tangan 56 detik peringati Hari Kesehatan,Antara,https://www.antaranews.com/berita/1836556/500-nakes-wisma-atlet-tepuk-tangan-56-detik-peringati-hari-kesehatan
2020-11-12_an_0004,2020-11-12,Belajar ilmu kebaikan dari Makian,Antara,https://www.antaranews.com/video/1836348/belajar-ilmu-kebaikan-dari-makian
2020-11-12_an_0005,2020-11-12,BPPTKG Yogyakarta perkirakan erupsi Merapi seperti saat 2006,Antara,https://www.antaranews.com/video/1836548/bpptkg-yogyakarta-perkirakan-erupsi-merapi-seperti-saat-2006
2020-11-12_an_0006,2020-11-12,"Riau berhasil tekan penyebaran COVID-19, zona merah sisa satu daerah",Antara,https://www.antaranews.com/berita/1836552/riau-berhasil-tekan-penyebaran-covid-19-zona-merah-sisa-satu-daerah
2020-11-12_an_0007,2020-11-12,IDEAFEST 2020 tekankan masalah pembangunan personal dan lingkungan,Antara,https://www.antaranews.com/berita/1836544/ideafest-2020-tekankan-masalah-pembangunan-personal-dan-lingkungan
2020-11-12_an_0008,2020-11-12,Penasihat Menko Marves berharap tidak ada kerumunan saat pilkada,Antara,https://www.antaranews.com/berita/1836540/penasihat-menko-marves-berharap-tidak-ada-kerumunan-saat-pilkada
2020-11-12_an_0009,2020-11-12,Pemain Timnas U-19 Serdy Ephy tak ingin ulangi kesalahan,Antara,https://www.antaranews.com/berita/1836536/pemain-timnas-u-19-serdy-ephy-tak-ingin-ulangi-kesalahan
2020-11-12_an_0010,2020-11-12,China hadapi risiko penularan COVID-19 karena kasus impor,Antara,https://www.antaranews.com/berita/1836532/china-hadapi-risiko-penularan-covid-19-karena-kasus-impor
2020-11-12_an_0011,2020-11-12,Kemendes PDTT raih penghargaan Mitra Bakti Husada 2020,Antara,https://www.antaranews.com/berita/1836524/kemendes-pdtt-raih-penghargaan-mitra-bakti-husada-2020
2020-11-12_an_0012,2020-11-12,Anggota JKT48 laporkan dugaan tindak asusila ke Polda Metro Jaya,Antara,https://www.antaranews.com/berita/1836480/anggota-jkt48-laporkan-dugaan-tindak-asusila-ke-polda-metro-jaya
2020-11-12_an_0013,2020-11-12,Tuntutan banjir surut enam jam di cekungan Jakarta dinilai realistis,Antara,https://www.antaranews.com/berita/1836516/tuntutan-banjir-surut-enam-jam-di-cekungan-jakarta-dinilai-realistis
2020-11-12_an_0014,2020-11-12,LPSK-Komisi Kejaksaan sepakat wujudkan keadilan yang restoratif,Antara,https://www.antaranews.com/berita/1836512/lpsk-komisi-kejaksaan-sepakat-wujudkan-keadilan-yang-restoratif
2020-11-12_an_0015,2020-11-12,Kilas NusAntara Malam,Antara,https://www.antaranews.com/video/1836420/kilas-nusantara-malam
2020-11-12_an_0016,2020-11-12,Kemenparekraf sosialisasi pendaftaran kekayaan intelektual di Magelang,Antara,https://www.antaranews.com/berita/1836504/kemenparekraf-sosialisasi-pendaftaran-kekayaan-intelektual-di-magelang
2020-11-12_an_0017,2020-11-12,Pemusnahan ganja BNNP Sumbar,Antara,https://www.antaranews.com/foto/1836500/pemusnahan-ganja-bnnp-sumbar
2020-11-12_an_0018,2020-11-12,Pemkot Surabaya bantu perahu nelayan akibat gelombang pasang,Antara,https://www.antaranews.com/berita/1836496/pemkot-surabaya-bantu-perahu-nelayan-akibat-gelombang-pasang
2020-11-12_an_0019,2020-11-12,Bawaslu meragukan penggunaan Sirekap KPU dalam Pilkada 2020,Antara,https://www.antaranews.com/berita/1836492/bawaslu-meragukan-penggunaan-sirekap-kpu-dalam-pilkada-2020
