unique_id,date,source,headline,url
2021-02-17_an_01_1,2021-02-17,Antara,Jambi terima penetapan lokasi ruas kedua Tol Trans-Sumatera,https://www.antaranews.com/video/2005593/jambi-terima-penetapan-lokasi-ruas-kedua-tol-trans-sumatera
2021-02-17_an_01_2,2021-02-17,Antara,Presiden UMNO tolak intervensi pihak luar soal darurat,https://www.antaranews.com/berita/2005589/presiden-umno-tolak-intervensi-pihak-luar-soal-darurat
2021-02-17_an_01_3,2021-02-17,Antara,"Kubu Nurhadi sebut uang Rp9,5 miliar merupakan utang Rezky Herbiyono",https://www.antaranews.com/berita/2005585/kubu-nurhadi-sebut-uang-rp95-miliar-merupakan-utang-rezky-herbiyono
2021-02-17_an_01_4,2021-02-17,Antara,"Potensi penerimaan negara dari pelaut capai Rp151,2 T",https://www.antaranews.com/video/2005577/potensi-penerimaan-negara-dari-pelaut-capai-rp1512-t
2021-02-17_an_01_5,2021-02-17,Antara,Polda Sumut masih dalami kasus perdagangan bayi di Medan,https://www.antaranews.com/berita/2005581/polda-sumut-masih-dalami-kasus-perdagangan-bayi-di-medan
2021-02-17_an_01_6,2021-02-17,Antara,Sekolah Ilmu Lingkungan UI bangun Balai Bambu di Kampung Nelayan,https://www.antaranews.com/berita/2005573/sekolah-ilmu-lingkungan-ui-bangun-balai-bambu-di-kampung-nelayan
2021-02-17_an_01_7,2021-02-17,Antara,Vidya Rafika satu-satunya petembak wakil Indonesia di Olimpiade Tokyo,https://www.antaranews.com/berita/2005569/vidya-rafika-satu-satunya-petembak-wakil-indonesia-di-olimpiade-tokyo
2021-02-17_an_01_8,2021-02-17,Antara,Din dorong perbaikan SKB 3 menteri soal seragam,https://www.antaranews.com/berita/2005565/din-dorong-perbaikan-skb-3-menteri-soal-seragam
2021-02-17_an_01_9,2021-02-17,Antara,Sudah 794 pasien COVID-19 di Sumut yang meninggal,https://www.antaranews.com/berita/2005561/sudah-794-pasien-covid-19-di-sumut-yang-meninggal
2021-02-17_an_1_10,2021-02-17,Antara,Kejari tetapkan Sekda Samosir tersangka kasus korupsi dana COVID-19,https://www.antaranews.com/berita/2005557/kejari-tetapkan-sekda-samosir-tersangka-kasus-korupsi-dana-covid-19
2021-02-17_an_02_1,2021-02-17,Antara,SPSI NTB minta BSU BPJAMSOSTEK tetap dilanjutkan,https://www.antaranews.com/berita/2005553/spsi-ntb-minta-bsu-bpjamsostek-tetap-dilanjutkan
