unique_id,date,source,headline,url
2022-03-24_de_01_0,2022-03-24,Detik,Pengedar Narkoba di Sumut Modifikasi Senapan Angin Setara Senjata Api,https://news.detik.com/berita/d-5999693/pengedar-narkoba-di-sumut-modifikasi-senapan-angin-setara-senjata-api
2022-03-24_de_01_1,2022-03-24,Detik,RI Sukses Yakinkan IPU Bentuk Satgas Dorong Perdamaian Ukraina-Rusia,https://news.detik.com/berita/d-5999690/ri-sukses-yakinkan-ipu-bentuk-satgas-dorong-perdamaian-ukraina-rusia
2022-03-24_de_01_2,2022-03-24,Detik,"IPU Hasilkan Deklarasi Nusa Dua, Puan Pastikan DPR Lakukan Aksi Nyata",https://news.detik.com/berita/d-5999684/ipu-hasilkan-deklarasi-nusa-dua-puan-pastikan-dpr-lakukan-aksi-nyata
2022-03-24_de_01_3,2022-03-24,Detik,OJK & BSI Sinergi Kembangkan UMKM Lewat Bank Wakaf Mikro,https://news.detik.com/berita/d-5999683/ojk--bsi-sinergi-kembangkan-umkm-lewat-bank-wakaf-mikro
2022-03-24_de_01_4,2022-03-24,Detik,Wagub DKI Balas PSI: Penanganan Banjir Bukan Hanya Normalisasi Sungai,https://news.detik.com/berita/d-5999673/wagub-dki-balas-psi-penanganan-banjir-bukan-hanya-normalisasi-sungai
2022-03-24_de_01_5,2022-03-24,Detik,Relawan Ganjar Milenial Jambi Adakan Gowes dan Bagikan Sembako,https://news.detik.com/berita/d-5999672/relawan-ganjar-milenial-jambi-adakan-gowes-dan-bagikan-sembako
2022-03-24_de_01_6,2022-03-24,Detik,MOVI Hadirkan Inovasi Produk Herbal di Ajang MotoGP 2022,https://news.detik.com/berita/d-5999669/movi-hadirkan-inovasi-produk-herbal-di-ajang-motogp-2022
2022-03-24_de_01_7,2022-03-24,Detik,Bamsoet Dukung Pianis Jefri Setiawan Kembali Pecahkan Rekor Dunia,https://news.detik.com/berita/d-5999651/bamsoet-dukung-pianis-jefri-setiawan-kembali-pecahkan-rekor-dunia
2022-03-24_de_01_8,2022-03-24,Detik,Rudal Balistik Korut Bikin Tegang karena Mendarat di Jepang,https://news.detik.com/internasional/d-5999661/rudal-balistik-korut-bikin-tegang-karena-mendarat-di-jepang
2022-03-24_de_01_9,2022-03-24,Detik,KAI Raih Penghargaan Best of The Best Communication di BCOMSS 2022,https://news.detik.com/berita/d-5999658/kai-raih-penghargaan-best-of-the-best-communication-di-bcomss-2022
2022-03-24_de_1_10,2022-03-24,Detik,Antre Panjang Pembagian Makanan di Mariupol Dijaga Ketat Tentara Rusia,https://news.detik.com/foto-news/d-5999106/antre-panjang-pembagian-makanan-di-mariupol-dijaga-ketat-tentara-rusia
2022-03-24_de_1_11,2022-03-24,Detik,Groundbreaking Sirkuit Bintan Digelar Setelah Lebaran,https://news.detik.com/berita/d-5999650/groundbreaking-sirkuit-bintan-digelar-setelah-lebaran
2022-03-24_de_1_12,2022-03-24,Detik,Sekjen Kemnaker Paparkan 5 Tantangan Pengembangan Kompetensi ASN,https://news.detik.com/berita/d-5999657/sekjen-kemnaker-paparkan-5-tantangan-pengembangan-kompetensi-asn
