unique_id,date,headline,source,url
2020-04-02_ja_0001,2020-04-02,"Ada Permenkumham, Lapas Probolinggo Bebaskan 45 Napi dalam 2 Hari",Jawa Pos,https://radarbromo.jawapos.com/probolinggo/02/04/2020/ada-permenkumham-lapas-probolinggo-bebaskan-45-napi-dalam-2-hari/
2020-04-02_ja_0002,2020-04-02,"Bebas dari Penjara, Roro Fitria Siap Comeback ke Dunia Hiburan",Jawa Pos,https://www.jawapos.com/entertainment/infotainment/02/04/2020/bebas-dari-penjara-roro-fitria-siap-comeback-ke-dunia-hiburan/
2020-04-02_ja_0003,2020-04-02, Delapan Anggota PPS “Antek Parpol” Resmi Dicopot,Jawa Pos,https://radarbali.jawapos.com/read/2020/04/02/186855/fix-delapan-anggota-pps-antek-parpol-resmi-dicopot
2020-04-02_ja_0004,2020-04-02,"Dibantu Toyota, BMW Bakal Produksi X5 Bertenaga Hidrogen",Jawa Pos,https://www.jawapos.com/oto-dan-tekno/otomotif/02/04/2020/dibantu-toyota-bmw-bakal-produksi-x5-bertenaga-hidrogen/
2020-04-02_ja_0005,2020-04-02,"Minta Naik Gaji Rp 300 Juta, Firli Bahuri: Itu Diajukan Zaman Pak Agus",Jawa Pos,https://www.jawapos.com/nasional/02/04/2020/minta-naik-gaji-rp-300-juta-firli-bahuri-itu-diajukan-zaman-pak-agus/
2020-04-02_ja_0006,2020-04-02,"JPO Kartasura Ambruk Ditabrak Truk, Jalan Ahmad Yani Masih Ditutup",Jawa Pos,https://radarsolo.jawapos.com/read/2020/04/02/186905/jpo-kartasura-ambruk-ditabrak-truk-jalan-ahmad-yani-masih-ditutup
2020-04-02_ja_0007,2020-04-02,Aktivis Antikorupsi Pertanyakan Moralitas Pimpinan KPK,Jawa Pos,https://www.jawapos.com/nasional/02/04/2020/aktivis-antikorupsi-pertanyakan-moralitas-pimpinan-kpk/
2020-04-02_ja_0008,2020-04-02,"Bantu Tangani Wabah Korona di Italia, Lamborghini Produksi Masker",Jawa Pos,https://www.jawapos.com/oto-dan-tekno/otomotif/02/04/2020/bantu-tangani-wabah-korona-di-italia-lamborghini-produksi-masker/
2020-04-02_ja_0009,2020-04-02,"Di Tengah Wabah Korona, Pelaku UMKM Kudus Banjir Orderan Baju Hazmat",Jawa Pos,https://radarkudus.jawapos.com/read/2020/04/02/186904/di-tengah-wabah-korona-pelaku-umkm-kudus-banjir-orderan-baju-hazmat
2020-04-02_ja_0010,2020-04-02,Daftar Merek Mobil yang Menyerah Jualan di Indonesia Tahun Ini,Jawa Pos,https://www.jawapos.com/oto-dan-tekno/otomotif/02/04/2020/daftar-merek-mobil-yang-menyerah-jualan-di-indonesia-tahun-ini/
2020-04-02_ja_0011,2020-04-02,Jembatan Penyebrangan Orang Kartasura Ambruk Ditabrak Truk,Jawa Pos,https://radarsolo.jawapos.com/read/2020/04/02/186903/jembatan-penyebrangan-orang-kartasura-ambruk-ditabrak-truk
2020-04-02_ja_0012,2020-04-02,"Antisipasi Panic Buying, Bulog Pati Stok Beras 7 Ribu Ton",Jawa Pos,https://radarkudus.jawapos.com/read/2020/04/02/186902/antisipasi-panic-buying-bulog-pati-stok-beras-7-ribu-ton
2020-04-02_ja_0013,2020-04-02,Mengejutkan! Wanita Muda yang Coba Bunuh Diri Ternyata Pelakor,Jawa Pos,https://radarbali.jawapos.com/read/2020/04/02/186898/mengejutkan-wanita-muda-yang-coba-bunuh-diri-ternyata-pelakor
2020-04-02_ja_0014,2020-04-02,"Sidang PTSL, Jaksa Tuntut Kades Alasdowo Pati Enam Bulan Penjara",Jawa Pos,https://radarkudus.jawapos.com/read/2020/04/02/186900/sidang-ptsl-jaksa-tuntut-kades-alasdowo-pati-enam-bulan-penjara
2020-04-02_ja_0015,2020-04-02,"Jurnalis Tiongkok Hilang Usai Ungkap Dampak Korona, Begini Respons AS",Jawa Pos,https://www.jawapos.com/internasional/02/04/2020/jurnalis-tiongkok-hilang-usai-ungkap-dampak-korona-begini-respons-as/
2020-04-02_ja_0016,2020-04-02,Pemerintah Permudah Impor Alat Kesehatan,Jawa Pos,https://www.jawapos.com/nasional/02/04/2020/pemerintah-permudah-impor-alat-kesehatan/
2020-04-02_ja_0017,2020-04-02,"Pilkada Ditunda Gara-gara Korona, KPU Grobogan Kembalikan Anggaran",Jawa Pos,https://radarkudus.jawapos.com/read/2020/04/02/186899/pilkada-ditunda-gara-gara-korona-kpu-grobogan-kembalikan-anggaran
2020-04-02_ja_0018,2020-04-02,"Tumpah saat Pindahkan bensin, Toko Pracangan di Krejengan Dilalap Api",Jawa Pos,https://radarbromo.jawapos.com/utama/02/04/2020/tumpah-saat-pindahkan-bensin-toko-pracangan-di-krejengan-dilalap-api/
2020-04-02_ja_0019,2020-04-02,"Tangani Wabah Korona, Doni Beberkan Sejumlah Kendala Pemerintah",Jawa Pos,https://www.jawapos.com/nasional/02/04/2020/tangani-wabah-korona-doni-beberkan-sejumlah-kendala-pemerintah/
2020-04-02_ja_0020,2020-04-02,Jika Aturan Validasi IMEI Ditunda Akan Berdampak Lebih Buruk,Jawa Pos,https://www.jawapos.com/oto-dan-tekno/gadget/02/04/2020/jika-aturan-validasi-imei-ditunda-akan-berdampak-lebih-buruk/
2020-04-02_ja_0021,2020-04-02,"Peran Kiai, Eksistensi Pesantren, dan Era 4.0",Jawa Pos,https://radarjember.jawapos.com/pascasarjana_iain/02/04/2020/peran-kiai-eksistensi-pesantren-dan-era-4-0/
2020-04-02_ja_0022,2020-04-02,Extrajoss Peduli Daya Tahan Garda Terdepan Para Pahlawan Virus Korona,Jawa Pos,https://radarsemarang.jawapos.com/berita/semarang/2020/04/02/extrajoss-peduli-daya-tahan-garda-terdepan-para-pahlawan-virus-korona/
2020-04-02_ja_0023,2020-04-02, Wanita Muda itu Coba Bunuh Diri dalam Kondisi Mabuk Arak,Jawa Pos,https://radarbali.jawapos.com/read/2020/04/02/186890/ternyata-wanita-muda-itu-coba-bunuh-diri-dalam-kondisi-mabuk-arak
2020-04-02_ja_0024,2020-04-02,Pemotor asal Sukokerto Tewas usai Motornya Tabrak Mobil yang Hendak Berbelok,Jawa Pos,https://radarbromo.jawapos.com/utama/02/04/2020/pemotor-asal-sukokerto-tewas-usai-motornya-tabrak-mobil-yang-hendak-berbelok/
2020-04-02_ja_0025,2020-04-02,"Tak Sesuai Standar Euro6, Produksi Honda BR-V di India Dihentikan",Jawa Pos,https://www.jawapos.com/oto-dan-tekno/otomotif/02/04/2020/tak-sesuai-standar-euro6-produksi-honda-br-v-di-india-dihentikan/
2020-04-02_ja_0026,2020-04-02,"Batuk di Depan Polisi dan Sebut Positif Korona, Pria Inggris Dipenjara",Jawa Pos,https://www.jawapos.com/internasional/02/04/2020/batuk-di-depan-polisi-dan-sebut-positif-korona-pria-inggris-dipenjara/
2020-04-02_ja_0027,2020-04-02,"Antisipasi Dampak Covid-19, Pemkot Denpasar Rancang Lumbung Pangan",Jawa Pos,https://baliexpress.jawapos.com/read/2020/04/02/186897/antisipasi-dampak-covid-19-pemkot-denpasar-rancang-lumbung-pangan
2020-04-02_ja_0028,2020-04-02, Tamiflu Jadi Obat Alternatif untuk Pasien Korona,Jawa Pos,https://www.jawapos.com/nasional/02/04/2020/%e2%80%8emenkes-tamiflu-jadi-obat-alternatif-untuk-pasien-korona/
2020-04-02_ja_0029,2020-04-02,"29 Orang Isolasi Mandiri, Pernah Kontak Pasien Positif Covid-19 Klaten",Jawa Pos,https://radarsolo.jawapos.com/read/2020/04/02/186896/29-orang-isolasi-mandiri-pernah-kontak-pasien-positif-covid-19-klaten
2020-04-02_ja_0030,2020-04-02,Wabup Suiasa Pimpin Penyemprotan Disinfektan di Ungasan,Jawa Pos,https://baliexpress.jawapos.com/read/2020/04/02/186895/wabup-suiasa-pimpin-penyemprotan-disinfektan-di-ungasan
2020-04-02_ja_0031,2020-04-02,"2,6 Juta Pekerja Informal di Jakarta Akan Dapat Bantuan dari Kemensos",Jawa Pos,https://www.jawapos.com/jabodetabek/02/04/2020/26-juta-pekerja-informal-di-jakarta-akan-dapat-bantuan-dari-kemensos/
2020-04-02_ja_0032,2020-04-02,Desainer Novita Rahayu Purwaningsih Turun Tangan Menjahit APD,Jawa Pos,https://www.jawapos.com/features/02/04/2020/desainer-novita-rahayu-purwaningsih-turun-tangan-menjahit-apd/
2020-04-02_ja_0033,2020-04-02,"Puluhan Orang Dipulangkan, Gilimanuk Lebih Selektif Terima Pendatang",Jawa Pos,https://baliexpress.jawapos.com/read/2020/04/02/186894/puluhan-orang-dipulangkan-gilimanuk-lebih-selektif-terima-pendatang
2020-04-02_ja_0034,2020-04-02,18.062 Napi dan Anak dan Dibebaskan untuk Cegah Penyebaran Covid-19,Jawa Pos,https://www.jawapos.com/nasional/02/04/2020/18-062-napi-dan-anak-dan-dibebaskan-untuk-cegah-penyebaran-covid-19/
2020-04-02_ja_0035,2020-04-02,"Suwirta Sambangi Pasar, Imbau Pengunjung Tidak Berdesakan",Jawa Pos,https://baliexpress.jawapos.com/read/2020/04/02/186893/suwirta-sambangi-pasar-imbau-pengunjung-tidak-berdesakan
2020-04-02_ja_0036,2020-04-02,Pakar Anggap Manajemen Komunikasi Istana Buruk,Jawa Pos,https://www.jawapos.com/nasional/02/04/2020/pakar-anggap-manajemen-komunikasi-istana-buruk/
2020-04-02_ja_0037,2020-04-02,"Warga Miskin DKI Terdampak Covid-19 Diberi Bantuan, Segini Besarannya",Jawa Pos,https://www.jawapos.com/jabodetabek/02/04/2020/warga-miskin-dki-terdampak-covid-19-diberi-bantuan-segini-besarannya/
2020-04-02_ja_0038,2020-04-02,"Transaksi Sepi, Pedagang Pasar Disarankan Beralih ke Online",Jawa Pos,https://radarsolo.jawapos.com/read/2020/04/02/186892/transaksi-sepi-pedagang-pasar-disarankan-beralih-ke-online
2020-04-02_ja_0039,2020-04-02,Peneliti Australia Mulai Pengujian Vaksin Korona,Jawa Pos,https://www.jawapos.com/internasional/02/04/2020/peneliti-australia-mulai-pengujian-vaksin-korona/
