unique_id,date,source,headline,url
2021-07-11_ja_0000,2021-07-11,Jawa Pos,"Pemerintah Jual Vaksin Sinopharm, Komisi IX: Ini Jelas Bertentangan",https://www.jawapos.com/nasional/politik/11/07/2021/pemerintah-jual-vaksin-sinopharm-komisi-ix-ini-jelas-bertentangan/
2021-07-11_ja_0001,2021-07-11,Jawa Pos,"Berburu Kartu Vaksin, Gara-Gara Ini",https://www.radarbogor.id/2021/07/11/berburu-kartu-vaksin-gara-gara-ini/
2021-07-11_ja_0002,2021-07-11,Jawa Pos,"Temui Warga Desa Tatar KSB, Ini Pesan Gubernur",https://lombokpost.jawapos.com/ntb/12/07/2021/temui-warga-desa-tatar-ksb-ini-pesan-gubernur/
2021-07-11_ja_0003,2021-07-11,Jawa Pos,"Dalam Situasi saat Ini, Kena Flu Perlu Di-swab Juga, Ini Penjelasannya",https://www.jawapos.com/kesehatan/11/07/2021/dalam-situasi-saat-ini-kena-flu-perlu-di-swab-juga-ini-penjelasannya/
2021-07-11_ja_0004,2021-07-11,Jawa Pos,"Desember, Kota Bogor Punya Perpustakaan Berkonsep Modern",https://www.radarbogor.id/2021/07/11/desember-kota-bogor-punya-perpustakaan-berkonsep-modern/
2021-07-11_ja_0005,2021-07-11,Jawa Pos,"Pemkot Siapkan TPU Khusus Covid, Purwoloyo Bisa Tampung 2000 Jenazah",https://radarsolo.jawapos.com/daerah/solo/11/07/2021/pemkot-siapkan-tpu-khusus-covid-purwoloyo-bisa-tampung-2000-jenazah/
2021-07-11_ja_0006,2021-07-11,Jawa Pos,123 Warga Cibuluh jadi Sasaran Vaksinasi Tim Satgas Polresta Bogor Kota,https://www.radarbogor.id/2021/07/11/123-warga-cibuluh-jadi-sasaran-vaksinasi-tim-satgas-polresta-bogor-kota/
2021-07-11_ja_0007,2021-07-11,Jawa Pos,"Sadis, Hakim ungkap Presiden Haiti Disiksa Sebelum Dihabisi",https://www.jawapos.com/internasional/11/07/2021/sadis-hakim-ungkap-presiden-haiti-disiksa-sebelum-dihabisi/
2021-07-11_ja_0008,2021-07-11,Jawa Pos,"Kota Bogor Krisis Tabung Oksigen, Begini Perjuangan Gerakan Anak Negeri",https://www.radarbogor.id/2021/07/11/kota-bogor-krisis-tabung-oksigen-begini-perjuangan-gerakan-anak-negeri/
2021-07-11_ja_0009,2021-07-11,Jawa Pos,"RS di Kota Bogor Krisis Oksigen, Luhut Janji Tambah Pasokan",https://www.jawapos.com/jabodetabek/11/07/2021/rs-di-kota-bogor-krisis-oksigen-luhut-janji-tambah-pasokan/
2021-07-11_ja_0010,2021-07-11,Jawa Pos,"Positif Covid-19, Bupati Bekasi Eka Supriatmaja Meninggal Dunia",https://www.jawapos.com/nasional/11/07/2021/positif-covid-19-bupati-bekasi-eka-supriatmaja-meninggal-dunia/
2021-07-11_ja_0011,2021-07-11,Jawa Pos,"Niat Berbagi Sembako ke Warga, Akuforbali Terbentur Prokes saat PPKM",https://radarbali.jawapos.com/read/2021/07/11/274844/niat-berbagi-sembako-ke-warga-akuforbali-terbentur-prokes-saat-ppkm
2021-07-11_ja_0012,2021-07-11,Jawa Pos,RSUD Dr Soetomo Jadikan Kontainer untuk Rawat Pasien Covid-19,https://www.jawapos.com/surabaya/11/07/2021/rsud-dr-soetomo-jadikan-kontainer-untuk-rawat-pasien-covid-19/
2021-07-11_ja_0013,2021-07-11,Jawa Pos,"Tertular Ibunya, Bayi Baru Lahir di Sukabumi Meninggal Akibat Covid-19",https://www.jawapos.com/nasional/11/07/2021/tertular-ibunya-bayi-baru-lahir-di-sukabumi-meninggal-akibat-covid-19/
