unique_id,date,headline,source,url
2020-10-23_ko_0001,2020-10-23,Peringatan Hari Santri Nasional 2020 di Jateng Digelar Virtual,Kompas,https://regional.kompas.com/read/2020/10/23/23504721/peringatan-hari-santri-nasional-2020-di-jateng-digelar-virtual
2020-10-23_ko_0002,2020-10-23,UNM Bantah Mahasiswanya Terlibat Perusakan Kantor Nasdem Makassar,Kompas,https://regional.kompas.com/read/2020/10/23/23494131/unm-bantah-mahasiswanya-terlibat-perusakan-kantor-nasdem-makassar
2020-10-23_ko_0003,2020-10-23,21 Terduga Perusak Kampus UNM dan Kantor Nasdem Makassar Ditangkap,Kompas,https://regional.kompas.com/read/2020/10/23/23453121/21-terduga-perusak-kampus-unm-dan-kantor-nasdem-makassar-ditangkap
2020-10-23_ko_0004,2020-10-23,Ibas Minta Pemerintah Lebih Perhatikan UMKM di Masa Pandemi,Kompas,https://nasional.kompas.com/read/2020/10/23/23264261/ibas-minta-pemerintah-lebih-perhatikan-umkm-di-masa-pandemi
2020-10-23_ko_0005,2020-10-23,Ratusan Ton Ikan Mati Mendadak di Danau Toba,Kompas,https://regional.kompas.com/read/2020/10/23/23003711/ratusan-ton-ikan-mati-mendadak-di-danau-toba
2020-10-23_ko_0006,2020-10-23,"Dialog 70 Menit Jusuf Kalla dengan Paus di Vatikan, Bahas Apa?",Kompas,https://nasional.kompas.com/read/2020/10/23/22593201/dialog-70-menit-jusuf-kalla-dengan-paus-di-vatikan-bahas-apa
2020-10-23_ko_0007,2020-10-23,"Termakan Hoaks, Petani Adang Truk Pengangkut Pupuk Bersubsidi",Kompas,https://regional.kompas.com/read/2020/10/23/22493681/termakan-hoaks-petani-adang-truk-pengangkut-pupuk-bersubsidi
2020-10-23_ko_0008,2020-10-23,20 Pondok Pesantren di Banten Terpapar Covid-19,Kompas,https://regional.kompas.com/read/2020/10/23/22471071/20-pondok-pesantren-di-banten-terpapar-covid-19
2020-10-23_ko_0009,2020-10-23,Dinkes Ungkap Ada Klaster Menonjol Penyumbang Kasus Covid-19 di Solo,Kompas,https://regional.kompas.com/read/2020/10/23/22435851/dinkes-ungkap-ada-klaster-menonjol-penyumbang-kasus-covid-19-di-solo
2020-10-23_ko_0010,2020-10-23,"Pria Ini Menghamili Anak Tiri, Istri Pelaku Lapor Polisi",Kompas,https://regional.kompas.com/read/2020/10/23/22413991/pria-ini-menghamili-anak-tiri-istri-pelaku-lapor-polisi
2020-10-23_ko_0011,2020-10-23,"Kawal Kunker Presiden Jokowi, 5 Anggota Polda Sultra Terlibat Kecelakaan",Kompas,https://regional.kompas.com/read/2020/10/23/22400841/kawal-kunker-presiden-jokowi-5-anggota-polda-sultra-terlibat-kecelakaan
2020-10-23_ko_0012,2020-10-23,Gubernur Riau Prihatin Masih Ada Warga yang Tak Percaya Covid-19,Kompas,https://regional.kompas.com/read/2020/10/23/22244031/gubernur-riau-prihatin-masih-ada-warga-yang-tak-percaya-covid-19
2020-10-23_ko_0013,2020-10-23,"Ditelepon Jokowi, Luhut Sebut Rencana Vaksin November Mungkin Molor",Kompas,https://nasional.kompas.com/read/2020/10/23/22143061/ditelepon-jokowi-luhut-sebut-rencana-vaksin-november-mungkin-molor
2020-10-23_ko_0014,2020-10-23,Keluarga Meminta Jenazah Cai Changpan Dibawa ke China,Kompas,https://megapolitan.kompas.com/read/2020/10/23/22133001/keluarga-meminta-jenazah-cai-changpan-dibawa-ke-china
2020-10-23_ko_0015,2020-10-23,"Nyaris Tewas Saat Diterkam Buaya, Hendrikus Berhasil Selamat setelah Ditolong Kakaknya",Kompas,https://regional.kompas.com/read/2020/10/23/22065611/nyaris-tewas-saat-diterkam-buaya-hendrikus-berhasil-selamat-setelah-ditolong
2020-10-23_ko_0016,2020-10-23,"Aniaya Warga yang Alami Gangguan Jiwa hingga Tewas, 6 Warga Ditangkap",Kompas,https://regional.kompas.com/read/2020/10/23/22032221/aniaya-warga-yang-alami-gangguan-jiwa-hingga-tewas-6-warga-ditangkap
2020-10-23_ko_0017,2020-10-23,"Masuk Musim Hujan, Masyarakat Banjarnegara Diminta Waspada Longsor",Kompas,https://regional.kompas.com/read/2020/10/23/21531211/masuk-musim-hujan-masyarakat-banjarnegara-diminta-waspada-longsor
2020-10-23_ko_0018,2020-10-23,"Cegah Penjambretan terhadap Pesepeda, Polsek Menteng Bentuk Tim Khusus",Kompas,https://megapolitan.kompas.com/read/2020/10/23/21481561/cegah-penjambretan-terhadap-pesepeda-polsek-menteng-bentuk-tim-khusus
2020-10-23_ko_0019,2020-10-23,Polisi Tangkap 7 Pemuda Anggota Geng Motor Dalam Kasus Penyerangan Warga di Bogor,Kompas,https://megapolitan.kompas.com/read/2020/10/23/21374171/polisi-tangkap-7-pemuda-anggota-geng-motor-dalam-kasus-penyerangan-warga
2020-10-23_ko_0020,2020-10-23,Begini Proses Terjadinya Kebakaran Kejagung Versi Ahli...,Kompas,https://nasional.kompas.com/read/2020/10/23/21300101/begini-proses-terjadinya-kebakaran-kejagung-versi-ahli
2020-10-23_ko_0021,2020-10-23,"Merasa Direkam dengan Spy Cam Saat Ganti Baju, Model Wanita Laporkan Pemilik Studio Foto",Kompas,https://regional.kompas.com/read/2020/10/23/21295631/merasa-direkam-dengan-spy-cam-saat-ganti-baju-model-wanita-laporkan-pemilik
2020-10-23_ko_0022,2020-10-23,Polisi Akan Gelar Rekonstruksi Kasus Pembunuhan Perempuan yang Terbakar dalam Mobil di Sukoharjo,Kompas,https://regional.kompas.com/read/2020/10/23/21184591/polisi-akan-gelar-rekonstruksi-kasus-pembunuhan-perempuan-yang-terbakar
2020-10-23_ko_0023,2020-10-23,"Soroti Sektor Tambang Batu Bara di UU Cipta Kerja, Jatam Sebut Itu Bukan untuk Rakyat",Kompas,https://nasional.kompas.com/read/2020/10/23/21161541/soroti-sektor-tambang-batu-bara-di-uu-cipta-kerja-jatam-sebut-itu-bukan
2020-10-23_ko_0024,2020-10-23,"Gramedia New Bali Gatsu Kembali Buka, Hadirkan Berbagai Promo Menarik",Kompas,https://regional.kompas.com/read/2020/10/23/21121301/gramedia-new-bali-gatsu-kembali-buka-hadirkan-berbagai-promo-menarik
2020-10-23_ko_0025,2020-10-23,"UPDATE 23 Oktober: Bertambah 9, Kasus Positif Covid-19 di Kota Tangerang Jadi 2.020",Kompas,https://megapolitan.kompas.com/read/2020/10/23/21105661/update-23-oktober-bertambah-9-kasus-positif-covid-19-di-kota-tangerang
