unique_id,date,source,headline,url
2022-02-21_ko_0000,2022-02-21,Kompas,Hobi Golf Ibnu Sutowo dan Wawancara Media Asing yang Jadi Masalah,https://nasional.kompas.com/read/2022/02/21/23085881/hobi-golf-ibnu-sutowo-dan-wawancara-media-asing-yang-jadi-masalah
2022-02-21_ko_0001,2022-02-21,Kompas,"Gandeng Kejagung, KPK Gelar Pendidikan Calon Penyelidik dan Penyidik",https://nasional.kompas.com/read/2022/02/21/22493521/gandeng-kejagung-kpk-gelar-pendidikan-calon-penyelidik-dan-penyidik
2022-02-21_ko_0002,2022-02-21,Kompas,Dinkes Klaim Kasus Harian Covid-19 di Kota Tangerang Menurun,https://megapolitan.kompas.com/read/2022/02/21/22333831/dinkes-klaim-kasus-harian-covid-19-di-kota-tangerang-menurun
2022-02-21_ko_0003,2022-02-21,Kompas,"Turap Kali Mampang Belum Bisa Dibangun, Camat: Ukuran Trase Kali Tak Ideal",https://megapolitan.kompas.com/read/2022/02/21/22260841/turap-kali-mampang-belum-bisa-dibangun-camat-ukuran-trase-kali-tak-ideal
2022-02-21_ko_0004,2022-02-21,Kompas,"Kolaborasi dengan Warga, Anies Resmikan Nama Jalan hingga Taman di Pulau Reklamasi",https://megapolitan.kompas.com/read/2022/02/21/22013781/kolaborasi-dengan-warga-anies-resmikan-nama-jalan-hingga-taman-di-pulau
2022-02-21_ko_0005,2022-02-21,Kompas,"Pantau Distribusi Minyak Goreng di Jakarta, Polda Metro Jaya: Belum Ada Laporan Kelangkaan",https://megapolitan.kompas.com/read/2022/02/21/21212191/pantau-distribusi-minyak-goreng-di-jakarta-polda-metro-jaya-belum-ada
2022-02-21_ko_0006,2022-02-21,Kompas,"Nurhayati Disebut Mestinya Dapat Penghargaan Karena Laporkan Dugaan Korupsi, tapi Malah Jadi Tersangka",https://nasional.kompas.com/read/2022/02/21/21180691/nurhayati-disebut-mestinya-dapat-penghargaan-karena-laporkan-dugaan-korupsi
2022-02-21_ko_0007,2022-02-21,Kompas,Seorang Wartawan Dikeroyok Sekelompok Remaja Diduga Mabuk di Depok,https://megapolitan.kompas.com/read/2022/02/21/21134001/seorang-wartawan-dikeroyok-sekelompok-remaja-diduga-mabuk-di-depok
2022-02-21_ko_0008,2022-02-21,Kompas,"Bupati Manokwari Kunjungi Jateng, Sebut Ingin “Berguru” ke Ganjar Pranowo",https://regional.kompas.com/read/2022/02/21/21052771/bupati-manokwari-kunjungi-jateng-sebut-ingin-berguru-ke-ganjar-pranowo
2022-02-21_ko_0009,2022-02-21,Kompas,"Saluran Air di Pancoran Buntu II Tertutup Sampah dan Tak Terawat, Ini Penyebabnya",https://megapolitan.kompas.com/read/2022/02/21/21035101/saluran-air-di-pancoran-buntu-ii-tertutup-sampah-dan-tak-terawat-ini
