unique_id,date,headline,source,url
2020-06-27_te_0001,2020-06-27,Halo Heli Firli,Tempo,https://koran.tempo.co/read/cover-story/454652/halo-heli-firli
2020-06-27_te_0002,2020-06-27,Pimpinan KPK / Ongkos Premium Helikopter Firli,Tempo,https://koran.tempo.co/read/berita-utama/454649/ongkos-premium-helikopter-firli
2020-06-27_te_0003,2020-06-27,Pimpinan KPK / Perilaku Firli Kontras dengan Pemimpin KPK Terdahulu,Tempo,https://koran.tempo.co/read/berita-utama/454648/perilaku-firli-kontras-dengan-pemimpin-kpk-terdahulu
2020-06-27_te_0004,2020-06-27,"Pembunuhan / Takut Diserang Balik, Anak Buah John Kei Serahkan Diri",Tempo,https://koran.tempo.co/read/metro/454645/takut-diserang-balik-anak-buah-john-kei-serahkan-diri
2020-06-27_te_0005,2020-06-27,Cita-cita Mulia Petani Muda,Tempo,https://koran.tempo.co/read/topik/454633/cita-cita-mulia-petani-muda
2020-06-27_te_0006,2020-06-27,Agar Anak Muda Betah di Desa,Tempo,https://koran.tempo.co/read/topik/454644/agar-anak-muda-betah-di-desa
2020-06-27_te_0007,2020-06-27,Pelanggaran Sebabkan Penularan Covid di Jawa Timur Tinggi,Tempo,https://koran.tempo.co/read/nasional/454643/pelanggaran-sebabkan-penularan-covid-di-jawa-timur-tinggi
2020-06-27_te_0008,2020-06-27,"Tokoh / Wikan Sakarinto, Direktur Jenderal Pendidikan Vokasi Kementerian Pendidikan dan Kebudayaan: Masuk Pendidikan Vokasi Itu Harus Bangga",Tempo,https://koran.tempo.co/read/tamu/454641/wikan-sakarinto-direktur-jenderal-pendidikan-vokasi-kementerian-pendidikan-dan-kebudayaan-masuk-pendidikan-vokasi-itu-harus-bangga
2020-06-27_te_0009,2020-06-27,Perbankan / ‘Bisnis Kekerasan’ Bermodal Nyali,Tempo,https://koran.tempo.co/read/metro/454650/bisnis-kekerasan-bermodal-nyali
2020-06-27_te_0010,2020-06-27,Beras | Impor dan masalahnya / DPR Dorong Bulog Serius Salurkan Beras,Tempo,https://koran.tempo.co/read/ekonomi-dan-bisnis/454640/dpr-dorong-bulog-serius-salurkan-beras
2020-06-27_te_0011,2020-06-27,"Usaha Mikro, Kecil dan Menengah | UMKM / Sentuhan Digital di Tambak Udang",Tempo,https://koran.tempo.co/read/ekonomi-dan-bisnis/454639/sentuhan-digital-di-tambak-udang
2020-06-27_te_0012,2020-06-27,Liga Inggris / Kesempatan Lingard,Tempo,https://koran.tempo.co/read/olah-raga/454637/kesempatan-lingard
2020-06-27_te_0013,2020-06-27,Palestine-Israel / Kecaman terhadap Aneksasi Israel Meluas,Tempo,https://koran.tempo.co/read/internasional/454636/kecaman-terhadap-aneksasi-israel-meluas
2020-06-27_te_0014,2020-06-27,F1 / Ketika Balap F1 tanpa Penonton,Tempo,https://koran.tempo.co/read/olah-raga/454632/ketika-balap-f1-tanpa-penonton
2020-06-27_te_0015,2020-06-27,Liga Inggris / Akhir Manis Penantian Panjang,Tempo,https://koran.tempo.co/read/olah-raga/454631/akhir-manis-penantian-panjang
2020-06-27_te_0016,2020-06-27,Hong Kong / Amerika Sahkan RUU Sanksi terhadap Cina,Tempo,https://koran.tempo.co/read/internasional/454629/amerika-sahkan-ruu-sanksi-terhadap-cina
2020-06-27_te_0017,2020-06-27,Merayakan Persinggungan Gamelan,Tempo,https://koran.tempo.co/read/seni/454628/merayakan-persinggungan-gamelan
2020-06-27_te_0018,2020-06-27,Sastra / Kucing-kucing Suginami,Tempo,https://koran.tempo.co/read/sastra/454627/kucing-kucing-suginami
2020-06-27_te_0019,2020-06-27,Jajanan Viral yang Menggerakkan,Tempo,https://koran.tempo.co/read/gaya-hidup/454626/jajanan-viral-yang-menggerakkan
2020-06-27_te_0020,2020-06-27,Bersepeda di Musim Corona,Tempo,https://koran.tempo.co/read/gaya-hidup/454625/bersepeda-di-musim-corona
2020-06-27_te_0021,2020-06-27,Game / Game Mistis Khas Nusantara,Tempo,https://koran.tempo.co/read/itempo/454624/game-mistis-khas-nusantara
2020-06-27_te_0022,2020-06-27,Lomba Corona,Tempo,https://koran.tempo.co/read/cari-angin/454623/lomba-corona
2020-06-27_te_0023,2020-06-27,Menyelamatkan Bumi dengan Kesedihan,Tempo,https://koran.tempo.co/read/buku/454622/menyelamatkan-bumi-dengan-kesedihan
2020-06-27_te_0024,2020-06-27,Wabah dalam Limbah,Tempo,https://koran.tempo.co/read/gaya-hidup/454610/wabah-dalam-limbah
2020-06-27_te_0025,2020-06-27,Berhari Raya di Taman Kota Wina,Tempo,https://koran.tempo.co/read/perjalanan/454572/berhari-raya-di-taman-kota-wina
