unique_id,date,source,headline,url
2022-05-05_te_0000,2022-05-05,Tempo,Siaga Jalur Alternatif Menampung Arus Balik,https://koran.tempo.co/read/berita-utama/473599/bagaimana-pemerintah-menyiapkan-jalur-alternatif-untuk-memperlancar-arus-balik-lebaran
2022-05-05_te_0001,2022-05-05,Tempo,Siaga Jalur Alternatif Menampung Arus Balik,https://koran.tempo.co/read/ekonomi-dan-bisnis/473558/apa-saja-rekayasa-lalu-lintas-yang-akan-diterapkan-pada-masa-arus-balik-lebaran
2022-05-05_te_0002,2022-05-05,Tempo,Siaga Jalur Alternatif Menampung Arus Balik,https://nasional.tempo.co/read/1588424/polri-siapkan-rekayasa-arus-balik-lebaran-ini-rinciannya
2022-05-05_te_0003,2022-05-05,Tempo,Siaga Jalur Alternatif Menampung Arus Balik,https://nasional.tempo.co/read/1588228/evaluasi-arus-mudik-pakar-ungkap-sejumlah-catatan-hadapi-arus-balik-lebaran
2022-05-05_te_0004,2022-05-05,Tempo,Siaga Jalur Alternatif Menampung Arus Balik,https://bisnis.tempo.co/read/1588071/kemenhub-puncak-arus-balik-libur-lebaran-6-mei-2022
2022-05-05_te_0005,2022-05-05,Tempo,Siaga Jalur Alternatif Menampung Arus Balik,https://otomotif.tempo.co/read/1588299/puncak-arus-balik-lebaran-2022-bisa-di-6-mei-ini-jadwal-sistem-satu-arah-di-tol
2022-05-05_te_0006,2022-05-05,Tempo,Padat Menjelang Puncak Arus Balik,https://koran.tempo.co/read/berita-utama/473605/bagaimana-kepadatan-kendaraan-menjelang-puncak-arus-balik-lebaran
2022-05-05_te_0007,2022-05-05,Tempo,Mencegah Neraka Berulang di Jalur Penyeberangan,https://koran.tempo.co/read/berita-utama/473596/apakah-dermaga-tambahan-di-bakauheni-merak-efektif-mengurai-kemacetan-arus-balik-lebaran
2022-05-05_te_0008,2022-05-05,Tempo,Menangani Ancaman Wabah Hepatitis Akut,https://koran.tempo.co/read/editorial/473600/bagaimana-covid-19-jadi-pelajaran-dalam-menangani-ancaman-wabah-hepatitis-akut
2022-05-05_te_0009,2022-05-05,Tempo,Narasi Jalan Tol Jokowi dan Prestasi Ekonomi,https://koran.tempo.co/read/opini/473591/klaim-prestasi-jalan-tol-jokowi-pembangunan-infrastruktur-dan-pertumbuhan-ekonomi
2022-05-05_te_0010,2022-05-05,Tempo,Waspada Dampak Kenaikan Suku Bunga,https://koran.tempo.co/read/ekonomi-dan-bisnis/473598/apa-saja-dampak-kenaikan-suku-bunga-the-fed-terhadap-indonesia
2022-05-05_te_0011,2022-05-05,Tempo,Larangan Ekspor Minyak Sawit Diprediksi Segera Berakhir,https://koran.tempo.co/read/ekonomi-dan-bisnis/473590/indonesia-diprediksi-bakal-segera-menyetop-kebijakan-larangan-ekspor-minyak-sawit
2022-05-05_te_0012,2022-05-05,Tempo,Cemas atas Virus Hepatitis Akut,https://koran.tempo.co/read/metro/473604/warga-jakarta-cemas-atas-virus-hepatitis-akut
2022-05-05_te_0013,2022-05-05,Tempo,"Operasi Yustisi Hilang, Aplikasi Terbilang",https://koran.tempo.co/read/metro/473603/tak-ada-lagi-operasi-yustisi-terhadap-pendatang-baru-di-ibu-kota
2022-05-05_te_0014,2022-05-05,Tempo,Penuh Catatan di Aturan Turunan,https://koran.tempo.co/read/nasional/473601/berbagai-kejanggalan-di-aturan-turunan-uu-ikn
2022-05-05_te_0015,2022-05-05,Tempo,Aturan Turunan Dinilai Abaikan Gugatan,https://koran.tempo.co/read/nasional/473602/aturan-turunan-uu-ikn-dinilai-abaikan-gugatan-di-mk
2022-05-05_te_0016,2022-05-05,Tempo,Mencari Presiden Baru dari NasDem,https://koran.tempo.co/read/nasional/473597/pemilu-2024-kandidat-capres-dari-partai-nasdem
2022-05-05_te_0017,2022-05-05,Tempo,Membuka Ruang Isolasi Sebagai Antisipasi,https://koran.tempo.co/read/metro/473607/membuka-ruang-isolasi-sebagai-antisipasi-penyebaran-hepatitis-akut
