date,total
2020-01-01,242.2
2020-01-02,309.4
2020-01-03,313.8
2020-01-04,210.2
2020-01-05,168.2
2020-01-06,348.4
2020-01-07,369.0
2020-01-08,382.2
2020-01-09,363.0
2020-01-10,337.0
2020-01-11,200.4
2020-01-12,160.6
2020-01-13,351.4
2020-01-14,359.6
2020-01-15,370.4
2020-01-16,376.0
2020-01-17,353.2
2020-01-18,193.6
2020-01-19,168.0
2020-01-20,363.2
2020-01-21,356.4
2020-01-22,377.0
2020-01-23,384.6
2020-01-24,340.8
2020-01-25,191.6
2020-01-26,158.4
2020-01-27,358.8
2020-01-28,375.0
2020-01-29,353.0
2020-01-30,359.2
2020-01-31,326.4
2020-02-01,191.0
2020-02-02,185.6
2020-02-03,371.6
2020-02-04,373.4
2020-02-05,359.6
2020-02-06,330.8
2020-02-07,320.6
2020-02-08,233.6
2020-02-09,171.2
2020-02-10,378.4
2020-02-11,384.0
2020-02-12,401.8
2020-02-13,390.6
2020-02-14,359.4
2020-02-15,223.2
2020-02-16,175.0
2020-02-17,363.4
2020-02-18,385.4
2020-02-19,371.6
2020-02-20,371.2
2020-02-21,360.2
2020-02-22,220.0
2020-02-23,181.0
2020-02-24,382.6
2020-02-25,410.8
2020-02-26,399.0
2020-02-27,410.0
2020-02-28,361.2
2020-02-29,217.2
2020-03-01,185.4
2020-03-02,390.0
2020-03-03,416.6
2020-03-04,399.0
2020-03-05,397.2
2020-03-06,368.8
2020-03-07,188.8
2020-03-08,176.0
2020-03-09,374.2
2020-03-10,380.8
2020-03-11,407.4
2020-03-12,420.6
2020-03-13,391.8
2020-03-14,239.8
2020-03-15,226.6
2020-03-16,419.2
2020-03-17,386.4
2020-03-18,405.2
2020-03-19,417.4
2020-03-20,395.6
2020-03-21,222.6
2020-03-22,222.2
2020-03-23,413.0
2020-03-24,387.4
2020-03-25,298.4
2020-03-26,398.6
2020-03-27,378.4
2020-03-28,252.4
2020-03-29,218.4
2020-03-30,406.0
2020-03-31,413.6
2020-04-01,407.6
2020-04-02,402.0
2020-04-03,392.8
2020-04-04,240.0
2020-04-05,211.6
2020-04-06,391.0
2020-04-07,397.0
2020-04-08,413.4
2020-04-09,413.4
2020-04-10,282.2
2020-04-11,236.2
2020-04-12,224.6
2020-04-13,401.6
2020-04-14,410.2
2020-04-15,423.6
2020-04-16,410.6
2020-04-17,392.8
2020-04-18,249.2
2020-04-19,204.8
2020-04-20,386.0
2020-04-21,396.4
2020-04-22,428.2
2020-04-23,412.6
2020-04-24,378.8
2020-04-25,241.8
2020-04-26,218.6
2020-04-27,378.2
2020-04-28,411.8
2020-04-29,425.6
2020-04-30,385.4
2020-05-01,295.2
2020-05-02,249.6
2020-05-03,237.2
2020-05-04,396.6
2020-05-05,402.6
2020-05-06,417.2
2020-05-07,280.4
2020-05-08,391.4
2020-05-09,258.4
2020-05-10,225.2
2020-05-11,398.6
2020-05-12,426.2
2020-05-13,397.8
2020-05-14,399.6
2020-05-15,414.6
2020-05-16,251.2
2020-05-17,228.0
2020-05-18,400.8
2020-05-19,421.8
2020-05-20,404.0
2020-05-21,285.4
2020-05-22,352.0
2020-05-23,243.4
2020-05-24,176.8
2020-05-25,172.6
2020-05-26,301.0
2020-05-27,350.4
2020-05-28,352.2
2020-05-29,352.6
2020-05-30,230.6
2020-05-31,184.0
2020-06-01,248.8
2020-06-02,388.6
2020-06-03,381.8
2020-06-04,402.2
2020-06-05,390.4
2020-06-06,224.2
2020-06-07,194.6
2020-06-08,371.8
2020-06-09,369.8
2020-06-10,374.2
2020-06-11,396.8
2020-06-12,372.2
2020-06-13,234.4
2020-06-14,184.6
2020-06-15,397.0
2020-06-16,384.8
2020-06-17,378.8
2020-06-18,388.0
2020-06-19,366.2
2020-06-20,232.6
2020-06-21,202.6
2020-06-22,367.4
2020-06-23,400.8
2020-06-24,393.6
2020-06-25,394.2
2020-06-26,369.4
2020-06-27,228.0
2020-06-28,181.6
2020-06-29,357.4
2020-06-30,369.4
2020-07-01,395.8
2020-07-02,382.6
2020-07-03,363.6
2020-07-04,224.4
2020-07-05,216.8
2020-07-06,382.8
2020-07-07,409.0
2020-07-08,404.2
2020-07-09,422.8
2020-07-10,387.6
2020-07-11,215.2
2020-07-12,185.2
2020-07-13,380.8
2020-07-14,394.2
2020-07-15,405.2
2020-07-16,404.2
2020-07-17,387.0
2020-07-18,221.8
2020-07-19,198.0
2020-07-20,378.4
2020-07-21,381.2
2020-07-22,397.0
2020-07-23,414.0
2020-07-24,359.6
2020-07-25,229.0
2020-07-26,174.4
2020-07-27,373.8
2020-07-28,371.2
2020-07-29,380.0
2020-07-30,383.8
2020-07-31,228.2
2020-08-01,197.2
2020-08-02,166.0
2020-08-03,356.0
2020-08-04,360.8
2020-08-05,374.6
2020-08-06,392.4
2020-08-07,371.8
2020-08-08,215.2
2020-08-09,189.6
2020-08-10,376.4
2020-08-11,406.6
2020-08-12,397.4
2020-08-13,383.0
2020-08-14,408.2
2020-08-15,222.8
2020-08-16,191.2
2020-08-17,306.4
2020-08-18,367.0
2020-08-19,367.4
2020-08-20,244.4
2020-08-21,295.0
2020-08-22,242.4
2020-08-23,194.6
2020-08-24,378.0
2020-08-25,377.6
2020-08-26,386.0
2020-08-27,388.6
2020-08-28,372.8
2020-08-29,222.2
2020-08-30,191.8
2020-08-31,374.2
2020-09-01,378.8
2020-09-02,401.6
2020-09-03,398.8
2020-09-04,383.2
2020-09-05,232.2
2020-09-06,189.2
2020-09-07,369.8
2020-09-08,394.6
2020-09-09,401.8
2020-09-10,406.6
2020-09-11,356.8
2020-09-12,223.6
2020-09-13,199.0
2020-09-14,414.4
2020-09-15,374.2
2020-09-16,385.0
2020-09-17,395.0
2020-09-18,363.6
2020-09-19,217.8
2020-09-20,193.4
2020-09-21,376.4
2020-09-22,386.0
2020-09-23,402.2
2020-09-24,405.6
2020-09-25,361.6
2020-09-26,209.4
2020-09-27,184.4
2020-09-28,371.4
2020-09-29,380.6
2020-09-30,377.6
2020-10-01,409.8
2020-10-02,379.4
2020-10-03,220.4
2020-10-04,193.0
2020-10-05,390.2
2020-10-06,389.8
2020-10-07,396.0
2020-10-08,445.4
2020-10-09,401.0
2020-10-10,215.4
2020-10-11,189.4
2020-10-12,380.6
2020-10-13,411.0
2020-10-14,373.8
2020-10-15,392.2
2020-10-16,354.8
2020-10-17,215.0
2020-10-18,188.6
2020-10-19,357.4
2020-10-20,410.4
2020-10-21,387.2
2020-10-22,420.8
2020-10-23,380.8
2020-10-24,234.8
2020-10-25,180.0
2020-10-26,367.8
2020-10-27,415.8
2020-10-28,357.6
2020-10-29,250.4
2020-10-30,305.6
2020-10-31,218.6
2020-11-01,182.8
2020-11-02,372.4
2020-11-03,373.2
2020-11-04,368.4
2020-11-05,385.2
2020-11-06,363.4
2020-11-07,210.4
2020-11-08,211.0
2020-11-09,361.8
2020-11-10,406.2
2020-11-11,365.4
2020-11-12,370.8
2020-11-13,354.4
2020-11-14,221.2
2020-11-15,189.0
2020-11-16,372.6
2020-11-17,366.8
2020-11-18,398.4
2020-11-19,397.8
2020-11-20,365.6
2020-11-21,221.6
2020-11-22,193.6
2020-11-23,359.2
2020-11-24,351.4
2020-11-25,382.2
2020-11-26,387.8
2020-11-27,354.0
2020-11-28,243.8
2020-11-29,186.0
2020-11-30,374.0
2020-12-01,384.6
2020-12-02,345.6
2020-12-03,365.4
2020-12-04,347.8
2020-12-05,209.2
2020-12-06,195.4
2020-12-07,327.0
2020-12-08,334.6
2020-12-09,398.8
2020-12-10,339.6
2020-12-11,321.0
2020-12-12,188.2
2020-12-13,176.8
2020-12-14,329.6
2020-12-15,345.8
2020-12-16,368.0
2020-12-17,341.0
2020-12-18,318.0
2020-12-19,179.8
2020-12-20,178.8
2020-12-21,315.0
2020-12-22,351.2
2020-12-23,351.2
2020-12-24,257.0
2020-12-25,179.2
2020-12-26,161.6
2020-12-27,167.0
2020-12-28,293.8
2020-12-29,292.0
2020-12-30,336.8
2020-12-31,287.0
2021-01-01,171.8
2021-01-02,157.4
2021-01-03,164.0
2021-01-04,332.6
2021-01-05,343.4
2021-01-06,347.0
2021-01-07,357.8
2021-01-08,355.8
2021-01-09,212.8
2021-01-10,237.8
2021-01-11,357.0
2021-01-12,381.8
2021-01-13,367.8
2021-01-14,393.8
2021-01-15,364.4
2021-01-16,220.6
2021-01-17,181.4
2021-01-18,374.4
2021-01-19,388.6
2021-01-20,383.4
2021-01-21,401.0
